000001 | fetch | pc=0001 acc=0           z=0 n=0 irq=0 | 0000: vld 5
000002 | mem   | pc=0001 acc=0           z=0 n=0 irq=0 | v0[0] <- mem[5]
000003 | mem   | pc=0001 acc=0           z=0 n=0 irq=0 | v0[1] <- mem[6]
000004 | mem   | pc=0001 acc=0           z=0 n=0 irq=0 | v0[2] <- mem[7]
000005 | mem   | pc=0001 acc=0           z=0 n=0 irq=0 | v0[3] <- mem[8]
000006 | vexec | pc=0001 acc=0           z=0 n=0 irq=0 | v0 <- mem[5..8]
000007 | fetch | pc=0002 acc=0           z=0 n=0 irq=0 | 0001: vld 1048585
000008 | mem   | pc=0002 acc=0           z=0 n=0 irq=0 | v1[0] <- mem[9]
000009 | mem   | pc=0002 acc=0           z=0 n=0 irq=0 | v1[1] <- mem[10]
000010 | mem   | pc=0002 acc=0           z=0 n=0 irq=0 | v1[2] <- mem[11]
000011 | mem   | pc=0002 acc=0           z=0 n=0 irq=0 | v1[3] <- mem[12]
000012 | vexec | pc=0002 acc=0           z=0 n=0 irq=0 | v1 <- mem[9..12]
000013 | fetch | pc=0003 acc=0           z=0 n=0 irq=0 | 0002: vadd 65536
000014 | exec  | pc=0003 acc=0           z=0 n=0 irq=0 | vector operands v0, v1
000015 | vexec | pc=0003 acc=0           z=0 n=0 irq=0 | v0 += v1
000016 | fetch | pc=0004 acc=0           z=0 n=0 irq=0 | 0003: vst 17
000017 | mem   | pc=0004 acc=0           z=0 n=0 irq=0 | mem[17] <- v0[0]
000018 | mem   | pc=0004 acc=0           z=0 n=0 irq=0 | mem[18] <- v0[1]
000019 | mem   | pc=0004 acc=0           z=0 n=0 irq=0 | mem[19] <- v0[2]
000020 | mem   | pc=0004 acc=0           z=0 n=0 irq=0 | mem[20] <- v0[3]
000021 | vexec | pc=0004 acc=0           z=0 n=0 irq=0 | mem[17..20] <- v0
000022 | fetch | pc=0005 acc=0           z=0 n=0 irq=0 | 0004: vld 2097165
000023 | mem   | pc=0005 acc=0           z=0 n=0 irq=0 | v2[0] <- mem[13]
000024 | mem   | pc=0005 acc=0           z=0 n=0 irq=0 | v2[1] <- mem[14]
000025 | mem   | pc=0005 acc=0           z=0 n=0 irq=0 | v2[2] <- mem[15]
000026 | mem   | pc=0005 acc=0           z=0 n=0 irq=0 | v2[3] <- mem[16]
000027 | vexec | pc=0005 acc=0           z=0 n=0 irq=0 | v2 <- mem[13..16]
000028 | fetch | pc=0006 acc=0           z=0 n=0 irq=0 | 0005: vcmpgt 131072
000029 | exec  | pc=0006 acc=0           z=0 n=0 irq=0 | vector operands v0, v2
000030 | vexec | pc=0006 acc=0           z=0 n=0 irq=0 | v0 = v0 > v2
000031 | fetch | pc=0007 acc=0           z=0 n=0 irq=0 | 0006: vst 21
000032 | mem   | pc=0007 acc=0           z=0 n=0 irq=0 | mem[21] <- v0[0]
000033 | mem   | pc=0007 acc=0           z=0 n=0 irq=0 | mem[22] <- v0[1]
000034 | mem   | pc=0007 acc=0           z=0 n=0 irq=0 | mem[23] <- v0[2]
000035 | mem   | pc=0007 acc=0           z=0 n=0 irq=0 | mem[24] <- v0[3]
000036 | vexec | pc=0007 acc=0           z=0 n=0 irq=0 | mem[21..24] <- v0
000037 | fetch | pc=0008 acc=0           z=0 n=0 irq=0 | 0007: lea 17
